seed_id,text,label,original_label,sarcasm_flag,canonical_lead,source_partition
seed_00001,omg it was stnadard 🫤,Neutral,Neutral,0,omg,generation_seed
seed_00002,highkeyyyyy this is perfect 😁,Positive,Positive,0,highkey,generation_seed
seed_00003,omg it was standard 🙂,Neutral,Neutral,0,omg,generation_seed
seed_00004,ngl thisssss is terrible 💔,Negative,Negative,0,ngl,generation_seed
seed_00006,bro this is awful 😠,Negative,Negative,0,bro,generation_seed
seed_00008,omg it was normalll 😐,Neutral,Neutral,0,omg,generation_seed
seed_00009,idk thisss is soild 😍,Positive,Positive,0,idk,generation_seed
seed_00010,highkeyyyy it was normallll 🤷,Neutral,Neutral,0,highkey,generation_seed
seed_00011,tbh thisss is pathetcicc 😭,Negative,Negative,0,tbh,generation_seed
seed_00015,omg it was fine 🫤,Neutral,Neutral,0,omg,generation_seed
seed_00017,bro tihsssss is solid 🔥,Positive,Positive,0,bro,generation_seed
seed_00018,just perfect 👏 totallyyyy helpful,Negative,Sarcastic,1,just,generation_seed
seed_00021,bro it was regularrrrr 🙂,Neutral,Neutral,0,bro,generation_seed
seed_00023,highkyeyyyy thisssss is trashhhh 😠,Negative,Negative,0,highkey,generation_seed
seed_00025,omg this is perfecttttt ✨,Positive,Positive,0,omg,generation_seed
seed_00027,lowkey this is lit 🥳,Positive,Positive,0,lowkey,generation_seed
seed_00028,tbh this is awesome 🔥,Positive,Positive,0,tbh,generation_seed
seed_00029,omg it was regular 🫤,Neutral,Neutral,0,omg,generation_seed
seed_00030,fr it was fineeeee 🙂,Neutral,Neutral,0,fr,generation_seed
seed_00032,tbh it was avergae 🙂,Neutral,Neutral,0,tbh,generation_seed
seed_00033,idk this is lit ✨,Positive,Positive,0,idk,generation_seed
seed_00034,omg it was average 🙂,Neutral,Neutral,0,omg,generation_seed
seed_00036,omg it was avreageee 🤷,Neutral,Neutral,0,omg,generation_seed
seed_00038,idk it was okay 🫤,Neutral,Neutral,0,idk,generation_seed
seed_00040,idk it was normal 🫤,Neutral,Neutral,0,idk,generation_seed
seed_00041,fr this is awesome ✨,Positive,Positive,0,fr,generation_seed
seed_00042,ngl this is perefct ❤️,Positive,Positive,0,ngl,generation_seed
seed_00045,fr it was okay 🫤,Neutral,Neutral,0,fr,generation_seed
seed_00048,wow amazing 🙃 totallyyy helpful,Negative,Sarcastic,1,wow,generation_seed
seed_00049,ngl thissss is patheticcccc 💔,Negative,Negative,0,ngl,generation_seed
seed_00050,bro this is amazinggg 🥳,Positive,Positive,0,bro,generation_seed
seed_00051,omg this is perfect 😁,Positive,Positive,0,omg,generation_seed
seed_00052,tbh this is fantasticcc 🔥,Positive,Positive,0,tbh,generation_seed
seed_00055,wow aamzing 👏 totallyyy helpful,Negative,Sarcastic,1,wow,generation_seed
seed_00056,fr thisssss is tarshhhhh 💔,Negative,Negative,0,fr,generation_seed
seed_00060,tbh thissss is amazing ✨,Positive,Positive,0,tbh,generation_seed
seed_00061,idk this is annoying 💔,Negative,Negative,0,idk,generation_seed
seed_00062,highkey it was normal 😐,Neutral,Neutral,0,highkey,generation_seed
seed_00064,lol this is oslid 😁,Positive,Positive,0,lol,generation_seed
seed_00065,bro it was normalll 🤷,Neutral,Neutral,0,bro,generation_seed
seed_00066,idk this is great ✨,Positive,Positive,0,idk,generation_seed
seed_00067,love thtatt for me 😂 totally helpful,Negative,Sarcastic,1,love,generation_seed
seed_00069,highkey this is lit 🔥,Positive,Positive,0,highkey,generation_seed
seed_00070,lol this is annoying 😭,Negative,Negative,0,lol,generation_seed
seed_00071,bro thisss is perfectttt 😄,Positive,Positive,0,bro,generation_seed
seed_00072,fr it was okayyy 🤷,Neutral,Neutral,0,fr,generation_seed
seed_00073,omg this is annoyingggg 😞,Negative,Negative,0,omg,generation_seed
seed_00074,highkey it was nromal 🙂,Neutral,Neutral,0,highkey,generation_seed
seed_00075,hihgkey this is annoying 👎,Negative,Negative,0,highkey,generation_seed
seed_00076,lol it was okay 🫤,Neutral,Neutral,0,lol,generation_seed
seed_00078,fr this is perfect 🥳,Positive,Positive,0,fr,generation_seed
seed_00079,just perfectttt 🙄 totally helfpul,Negative,Sarcastic,1,just,generation_seed
seed_00081,love that for me 😂 totally helpful,Negative,Sarcastic,1,love,generation_seed
seed_00082,love that for me 👏 totally hlepful,Negative,Sarcastic,1,love,generation_seed
seed_00083,tbh it was okyayy 🙂,Neutral,Neutral,0,tbh,generation_seed
seed_00084,ngl this is lit 😁,Positive,Positive,0,ngl,generation_seed
seed_00085,tbh it was okayyyy 🙂,Neutral,Neutral,0,tbh,generation_seed
seed_00087,idk it was reuglarrrr 😐,Neutral,Neutral,0,idk,generation_seed
seed_00089,highkey it was regularrr 🤷,Neutral,Neutral,0,highkey,generation_seed
seed_00092,love thattttt for me 😂 totally helpfulll,Negative,Sarcastic,1,love,generation_seed
seed_00093,yeah sure 😂 totally helpfullll,Negative,Sarcastic,1,yeah,generation_seed
seed_00094,tbh thissss is awfulll 💔,Negative,Negative,0,tbh,generation_seed
seed_00096,omg it was regular 😐,Neutral,Neutral,0,omg,generation_seed
seed_00097,yeah sure 🙄 toatllyyy heplfullll,Negative,Sarcastic,1,yeah,generation_seed
seed_00099,fr this is awesome 🥳,Positive,Positive,0,fr,generation_seed
seed_00100,highkeyyyyy this is worsttt 😤,Negative,Negative,0,highkey,generation_seed
seed_00103,just perfect 😏 toatlly hlepful,Negative,Sarcastic,1,just,generation_seed
seed_00106,loveeee that for me 🙄 totally helpfulll,Negative,Sarcastic,1,lovee,generation_seed
seed_00107,best everrrr 👏 totally helpful,Negative,Sarcastic,1,best,generation_seed
seed_00108,idk it was averageeee 🙂,Neutral,Neutral,0,idk,generation_seed
seed_00109,yeahhh sure 🙄 totlaly hlepful,Negative,Sarcastic,1,yeahh,generation_seed
seed_00110,bro it was okay 😐,Neutral,Neutral,0,bro,generation_seed
seed_00111,omg thissss is trashhh 👎,Negative,Negative,0,omg,generation_seed
seed_00112,wow amazinggggg 🙃 totally helpfullll,Negative,Sarcastic,1,wow,generation_seed
seed_00114,higheky it was average 🫤,Neutral,Neutral,0,higheky,generation_seed
seed_00118,omg it was regular 🤷,Neutral,Neutral,0,omg,generation_seed
seed_00120,great job 😒 totally helpfullll,Negative,Sarcastic,1,great,generation_seed
seed_00122,lowkeyyy thissss is awful 😤,Negative,Negative,0,lowkey,generation_seed
seed_00123,lowkeyyyy this is terribleee 😡,Negative,Negative,0,lowkey,generation_seed
seed_00124,bro this is amazing 😍,Positive,Positive,0,bro,generation_seed
seed_00126,wow amaiznggggg 😏 totallyyy helpful,Negative,Sarcastic,1,wow,generation_seed
seed_00127,highkey it was normal 🫤,Neutral,Neutral,0,highkey,generation_seed
seed_00128,lowkey this is lit 😄,Positive,Positive,0,lowkey,generation_seed
seed_00130,ngl this is awflu 👎,Negative,Negative,0,ngl,generation_seed
seed_00131,tbh it was averageeeee 🙂,Neutral,Neutral,0,tbh,generation_seed
seed_00132,omg it was okay 😐,Neutral,Neutral,0,omg,generation_seed
seed_00134,highkey this is solid 😍,Positive,Positive,0,highkey,generation_seed
