id,parent_id,comment,sentiment,original_seed_label,sarcasm_flag,hard_case_flag,source_type,generation_signal,phrase_family,split_group,recommended_split
real_00001,seed_00001,omg it was stnadard 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00001,test
real_00002,seed_00002,highkeyyyyy this is perfect 😁,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00002,train
real_00003,seed_00003,omg it was standard 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00003,test
real_00004,seed_00004,ngl thisssss is terrible 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00004,train
real_00005,seed_00005,highkey this is lit ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00005,train
real_00006,seed_00006,bro this is awful 😠,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00006,train
real_00007,seed_00007,ngl it was reuglar 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00007,train
real_00008,seed_00008,omg it was normalll 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00008,train
real_00009,seed_00009,idk thisss is soild 😍,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00009,train
real_00010,seed_00010,highkeyyyy it was normallll 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00010,train
real_00011,seed_00011,tbh thisss is pathetcicc 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00011,validation
real_00012,seed_00012,besttt ever 🙄 totally helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00012,validation
real_00013,seed_00013,best everrr 😒 totallyyyyy hlepfulll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00013,validation
real_00014,seed_00014,wow amazinggg 😏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00014,test
real_00015,seed_00015,omg it was fine 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00015,train
real_00016,seed_00016,bro it was normal 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00016,train
real_00017,seed_00017,bro tihsssss is solid 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00017,train
real_00018,seed_00018,just perfect 👏 totallyyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00018,train
real_00019,seed_00019,bro it was okay 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00019,train
real_00020,seed_00020,lol this is awful 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00020,train
real_00021,seed_00021,bro it was regularrrrr 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00021,train
real_00022,seed_00022,ngl this is worst 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00022,test
real_00023,seed_00023,highkyeyyyy thisssss is trashhhh 😠,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00023,train
real_00024,seed_00024,lowkey it was okay 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00024,train
real_00025,seed_00025,omg this is perfecttttt ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00025,train
real_00026,seed_00026,bro it was standarddd 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00026,train
real_00027,seed_00027,lowkey this is lit 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00027,train
real_00028,seed_00028,tbh this is awesome 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00028,train
real_00029,seed_00029,omg it was regular 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00029,train
