sentence,sentiment
The museum is closed on Mondays. 🏛️📅,Neutral
We are going to the cinema at 7 PM. 🎟️🍿📅,Neutral
The hotel room was dirty and small. 🏨🧹👎,Negative
This pizza is absolutely delicious! 🍕😋👌,Positive
I love the sleek design of this laptop. 💻💎😍,Positive
I can't get the wifi to connect. 📶📡😫,Negative
The flight was extremely bumpy. ✈️🤢,Negative
The coding assistant is a life saver. ⌨️👨‍💻🙌,Positive
The hotel room was dirty and small. 🏨🧹👎,Negative
The tide is coming in slowly. 🌊🌊,Neutral
I use a laptop for most of my writing. 💻⌨️,Neutral
Drinking some water after a run. 💧🏃,Neutral
I can't get the wifi to connect. 📶📡😫,Negative
I lost my passport at the station. 🛂📉🆘,Negative
The museum is closed on Mondays. 🏛️📅,Neutral
The AI generated a perfect response. 🤖🧠🔥,Positive
I am checking into my flight now. ✈️🎫📲,Neutral
It rained the entire time we were there. ☔🌧️😢,Negative
This new software makes my work so much easier. 💻🚀✨,Positive
Drinking some water after a run. 💧🏃,Neutral
The tide is coming in slowly. 🌊🌊,Neutral
I love watching the autumn leaves fall. 🍂🍁🧡,Positive
The tourist spots were overcrowded. 👥🚫😠,Negative
I didn't like the soup at all. 🍲❌😟,Negative
The beach was so peaceful and clean. 🏖️🌊🌴,Positive
The acting was very wooden. 🎭👎😟,Negative
Best sushi I have ever had. 🍣🍱✨,Positive
The film was based on a true story. 📖🎬📍,Neutral
The AI generated a perfect response. 🤖🧠🔥,Positive
The server is currently undergoing maintenance. 🖥️🔧🕒,Neutral
A storm ruined our outdoor plans. ⛈️⚡🌩️,Negative
The AI generated a perfect response. 🤖🧠🔥,Positive
The acting was very wooden. 🎭👎😟,Negative
Best sushi I have ever had. 🍣🍱✨,Positive
The service was slow and the steak was burnt. 🥩🔥😡,Negative
The documentary lasts for 90 minutes. 📽️🕒📝,Neutral
It is cloudy with a chance of rain. ☁️🌧️,Neutral
We are having pasta tonight. 🍝📅,Neutral
This new software makes my work so much easier. 💻🚀✨,Positive
Paris is truly a magical place. 🗼🇫🇷💖,Positive
The mountain air is so crisp and fresh. 🏔️🍃🌬️,Positive
The grocery store was out of apples. 🛒🍎🤔,Neutral
I love this spicy ramen bowl. 🍜🔥🌶️,Positive
I am looking for a new keyboard. ⌨️🔎,Neutral
The AI generated a perfect response. 🤖🧠🔥,Positive
Best sushi I have ever had. 🍣🍱✨,Positive
The coding assistant is a life saver. ⌨️👨‍💻🙌,Positive
The train leaves the station at noon. 🚆🕛🚉,Neutral
The grocery store was out of apples. 🛒🍎🤔,Neutral
I'm eating a sandwich for lunch. 🥪🍴🕒,Neutral
I use a laptop for most of my writing. 💻⌨️,Neutral
The dessert was the highlight of the night. 🍰🍫💖,Positive
This app is very intuitive to use. 📱👌📲,Positive
I am looking for a new keyboard. ⌨️🔎,Neutral
Paris is truly a magical place. 🗼🇫🇷💖,Positive
I didn't like the soup at all. 🍲❌😟,Negative
I love watching the autumn leaves fall. 🍂🍁🧡,Positive
The movie was boring and way too long. 🕒😴📉,Negative
The flight was extremely bumpy. ✈️🤢,Negative
The acting was very wooden. 🎭👎😟,Negative
It is cloudy with a chance of rain. ☁️🌧️,Neutral
The plot twist was brilliant. 🎬🍿🔥,Positive
I would not recommend this sequel. 🚫🎞️👎,Negative
We are going to the cinema at 7 PM. 🎟️🍿📅,Neutral
The humidity is making me feel exhausted. 💦😫🌡️,Negative
This app is very intuitive to use. 📱👌📲,Positive
I didn't like the soup at all. 🍲❌😟,Negative
There are many oak trees in this forest. 🌳🌲,Neutral
The server is currently undergoing maintenance. 🖥️🔧🕒,Neutral
I am installing the latest security patch. 🛠️💻💾,Neutral
Paris is truly a magical place. 🗼🇫🇷💖,Positive
The humidity is making me feel exhausted. 💦😫🌡️,Negative
The coding assistant is a life saver. ⌨️👨‍💻🙌,Positive
The AI generated a perfect response. 🤖🧠🔥,Positive
The wind is blowing from the west. 🌬️🧭,Neutral
Best sushi I have ever had. 🍣🍱✨,Positive
The hotel staff were so welcoming. 🏨🛎️😊,Positive
A masterpiece of modern cinema. 🏆🎬🙌,Positive
The heatwave is becoming unbearable. 🌡️🔥🥵,Negative
What an incredible performance by the lead actor! 🎭🌟👏,Positive
The menu has five different salad options. 📄🥗,Neutral
The movie was boring and way too long. 🕒😴📉,Negative
Paris is truly a magical place. 🗼🇫🇷💖,Positive
I lost my passport at the station. 🛂📉🆘,Negative
This burger is way too greasy. 🍔👎🥴,Negative
I'm eating a sandwich for lunch. 🥪🍴🕒,Neutral
The heatwave is becoming unbearable. 🌡️🔥🥵,Negative
The AI generated a perfect response. 🤖🧠🔥,Positive
A masterpiece of modern cinema. 🏆🎬🙌,Positive
This new software makes my work so much easier. 💻🚀✨,Positive
